Reset at time             50000000
Test case 1: Reset operation
Time=           175000000 	| i_data=  0 	| FIFO[          0]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=1 	|
FIFO empty status: 1, FIFO full status: 0
-> PASS
Test case 2: Write operation
Time=           325000000 	| i_data=  0 	| FIFO[          0]=  0 	|  ptr_rd=0 	| ptr_wr=1 	| o_full=0 	| o_empty=0 	|
Time=           375000000 	| i_data=  1 	| FIFO[          1]=  0 	|  ptr_rd=0 	| ptr_wr=2 	| o_full=0 	| o_empty=0 	|
Time=           425000000 	| i_data=  2 	| FIFO[          2]=  0 	|  ptr_rd=0 	| ptr_wr=3 	| o_full=0 	| o_empty=0 	|
Time=           475000000 	| i_data=  3 	| FIFO[          3]=  0 	|  ptr_rd=0 	| ptr_wr=4 	| o_full=0 	| o_empty=0 	|
Time=           525000000 	| i_data=  4 	| FIFO[          4]=  0 	|  ptr_rd=0 	| ptr_wr=5 	| o_full=0 	| o_empty=0 	|
Time=           575000000 	| i_data=  5 	| FIFO[          5]=  0 	|  ptr_rd=0 	| ptr_wr=6 	| o_full=0 	| o_empty=0 	|
Time=           625000000 	| i_data=  6 	| FIFO[          6]=  0 	|  ptr_rd=0 	| ptr_wr=7 	| o_full=0 	| o_empty=0 	|
Time=           675000000 	| i_data=  7 	| FIFO[          7]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=           725000000 	| i_data=  8 	| FIFO[          8]=  0 	|  ptr_rd=0 	| ptr_wr=1 	| o_full=0 	| o_empty=0 	|
Time=           775000000 	| i_data=  9 	| FIFO[          9]=  0 	|  ptr_rd=0 	| ptr_wr=2 	| o_full=0 	| o_empty=0 	|
Time=           825000000 	| i_data= 10 	| FIFO[         10]=  0 	|  ptr_rd=0 	| ptr_wr=3 	| o_full=0 	| o_empty=0 	|
Time=           875000000 	| i_data= 11 	| FIFO[         11]=  0 	|  ptr_rd=0 	| ptr_wr=4 	| o_full=0 	| o_empty=0 	|
Time=           925000000 	| i_data= 12 	| FIFO[         12]=  0 	|  ptr_rd=0 	| ptr_wr=5 	| o_full=0 	| o_empty=0 	|
Time=           975000000 	| i_data= 13 	| FIFO[         13]=  0 	|  ptr_rd=0 	| ptr_wr=6 	| o_full=0 	| o_empty=0 	|
Time=          1025000000 	| i_data= 14 	| FIFO[         14]=  0 	|  ptr_rd=0 	| ptr_wr=7 	| o_full=0 	| o_empty=0 	|
Time=          1075000000 	| i_data= 15 	| FIFO[         15]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1125000000 	| i_data= 16 	| FIFO[         16]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1175000000 	| i_data= 17 	| FIFO[         17]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1225000000 	| i_data= 18 	| FIFO[         18]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1275000000 	| i_data= 19 	| FIFO[         19]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1325000000 	| i_data= 20 	| FIFO[         20]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1375000000 	| i_data= 21 	| FIFO[         21]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1425000000 	| i_data= 22 	| FIFO[         22]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1475000000 	| i_data= 23 	| FIFO[         23]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1525000000 	| i_data= 24 	| FIFO[         24]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1575000000 	| i_data= 25 	| FIFO[         25]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1625000000 	| i_data= 26 	| FIFO[         26]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1675000000 	| i_data= 27 	| FIFO[         27]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1725000000 	| i_data= 28 	| FIFO[         28]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1775000000 	| i_data= 29 	| FIFO[         29]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Time=          1825000000 	| i_data= 30 	| FIFO[         30]=  0 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=1 	| o_empty=0 	|
Test case 3: Read operation
Time=          1975000000 	| i_data= 30 	| FIFO[          0]=  0 	|  ptr_rd=1 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2025000000 	| i_data= 30 	| FIFO[          1]=  1 	|  ptr_rd=2 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2075000000 	| i_data= 30 	| FIFO[          2]=  2 	|  ptr_rd=3 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2125000000 	| i_data= 30 	| FIFO[          3]=  3 	|  ptr_rd=4 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2175000000 	| i_data= 30 	| FIFO[          4]=  4 	|  ptr_rd=5 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2225000000 	| i_data= 30 	| FIFO[          5]=  5 	|  ptr_rd=6 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2275000000 	| i_data= 30 	| FIFO[          6]=  6 	|  ptr_rd=7 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2325000000 	| i_data= 30 	| FIFO[          7]=  7 	|  ptr_rd=0 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2375000000 	| i_data= 30 	| FIFO[          8]=  8 	|  ptr_rd=1 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2425000000 	| i_data= 30 	| FIFO[          9]=  9 	|  ptr_rd=2 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2475000000 	| i_data= 30 	| FIFO[         10]= 10 	|  ptr_rd=3 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2525000000 	| i_data= 30 	| FIFO[         11]= 11 	|  ptr_rd=4 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2575000000 	| i_data= 30 	| FIFO[         12]= 12 	|  ptr_rd=5 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2625000000 	| i_data= 30 	| FIFO[         13]= 13 	|  ptr_rd=6 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
Time=          2675000000 	| i_data= 30 	| FIFO[         14]= 14 	|  ptr_rd=7 	| ptr_wr=0 	| o_full=0 	| o_empty=0 	|
